% Model:              meshtest_CFD_module_v1.mph
% Version:            COMSOL 5.5.0.359
% Date:               Nov 10 2021, 19:49
% Table:              Table 1 - Line Integration 1
% Meshtest               t (s)                    phils (m)
0.05                     0                        0.05882453808613965
0.05                     0.1                      0.058654830322065726
0.05                     0.2                      0.05825339387651002
0.05                     0.30000000000000004      0.057743332492937595
0.05                     0.4                      0.057130747848564076
0.05                     0.5                      0.05640939492106532
0.05                     0.6000000000000001       0.05572912770252459
0.05                     0.7000000000000001       0.05509787098483075
0.05                     0.8                      0.05448797292785564
0.05                     0.9                      0.053872198938652735
0.05                     1                        0.05331875508792045
0.05                     1.1                      0.05284209417518233
0.05                     1.2000000000000002       0.052491791714006725
0.05                     1.3                      0.052030748079775514
0.05                     1.4000000000000001       0.051621484162684514
0.05                     1.5                      0.05124686134860304
0.05                     1.6                      0.05090509606110683
0.05                     1.7000000000000002       0.050606953174555575
0.05                     1.8                      0.05034667015048204
0.05                     1.9000000000000001       0.0501000363095529
0.05                     2                        0.04988155717369881
0.05                     2.1                      0.049708054405361454
0.05                     2.2                      0.04957333823372187
0.05                     2.3000000000000003       0.049436356244262805
0.05                     2.4000000000000004       0.04946141811436183
0.05                     2.5                      0.04933467463835999
0.05                     2.6                      0.04935612218086608
0.05                     2.7                      0.04935391904217782
0.05                     2.8000000000000003       0.04926957435172234
0.05                     2.9000000000000004       0.049225486229217484
0.05                     3                        0.049268725743062805
0.05                     3.1                      0.049274121172504695
0.05                     3.2                      0.04924117323833387
0.05                     3.3000000000000003       0.04927651602798196
0.05                     3.4000000000000004       0.049403091808986194
0.05                     3.5                      0.04944642230285152
0.05                     3.6                      0.0493926271616064
0.05                     3.7                      0.049386811652594634
0.05                     3.8000000000000003       0.04947825569594689
0.05                     3.9000000000000004       0.0494915749128149
0.05                     4                        0.0495996278376624
