y+	Prod
0.00E+00	2.66E-25
5.29E-02	1.40E-07
2.11E-01	9.05E-06
4.76E-01	1.05E-04
8.46E-01	6.02E-04
1.32E+00	2.34E-03
1.90E+00	6.99E-03
2.59E+00	1.72E-02
3.38E+00	3.60E-02
4.27E+00	6.53E-02
5.27E+00	1.04E-01
6.38E+00	1.47E-01
7.59E+00	1.86E-01
8.90E+00	2.16E-01
1.03E+01	2.31E-01
1.18E+01	2.33E-01
1.35E+01	2.24E-01
1.52E+01	2.08E-01
1.70E+01	1.88E-01
1.89E+01	1.67E-01
2.10E+01	1.46E-01
2.31E+01	1.28E-01
2.53E+01	1.11E-01
2.76E+01	9.68E-02
3.01E+01	8.46E-02
3.26E+01	7.43E-02
3.52E+01	6.57E-02
3.79E+01	5.85E-02
4.07E+01	5.25E-02
4.36E+01	4.74E-02
4.66E+01	4.30E-02
4.97E+01	3.92E-02
5.29E+01	3.59E-02
5.62E+01	3.32E-02
5.96E+01	3.10E-02
6.30E+01	2.92E-02
6.66E+01	2.75E-02
7.02E+01	2.61E-02
7.39E+01	2.47E-02
7.77E+01	2.34E-02
8.16E+01	2.22E-02
8.56E+01	2.10E-02
8.96E+01	1.99E-02
9.38E+01	1.89E-02
9.80E+01	1.81E-02
1.02E+02	1.74E-02
1.07E+02	1.67E-02
1.11E+02	1.61E-02
1.16E+02	1.54E-02
1.20E+02	1.46E-02
1.25E+02	1.39E-02
1.30E+02	1.32E-02
1.35E+02	1.26E-02
1.39E+02	1.21E-02
1.44E+02	1.15E-02
1.49E+02	1.08E-02
1.55E+02	1.02E-02
1.60E+02	9.72E-03
1.65E+02	9.24E-03
1.70E+02	8.77E-03
1.76E+02	8.38E-03
1.81E+02	8.09E-03
1.86E+02	7.83E-03
1.92E+02	7.55E-03
1.97E+02	7.21E-03
2.03E+02	6.83E-03
2.09E+02	6.44E-03
2.14E+02	6.07E-03
2.20E+02	5.70E-03
2.26E+02	5.32E-03
2.32E+02	4.96E-03
2.38E+02	4.62E-03
2.44E+02	4.31E-03
2.50E+02	4.01E-03
2.56E+02	3.73E-03
2.62E+02	3.46E-03
2.68E+02	3.18E-03
2.74E+02	2.91E-03
2.80E+02	2.65E-03
2.86E+02	2.40E-03
2.93E+02	2.18E-03
2.99E+02	1.97E-03
3.05E+02	1.77E-03
3.12E+02	1.58E-03
3.18E+02	1.40E-03
3.24E+02	1.22E-03
3.31E+02	1.04E-03
3.37E+02	8.67E-04
3.43E+02	7.03E-04
3.50E+02	5.52E-04
3.56E+02	4.16E-04
3.63E+02	2.94E-04
3.69E+02	1.90E-04
3.76E+02	1.07E-04
3.82E+02	4.62E-05
3.88E+02	8.73E-06
3.95E+02	-4.30E-06
