y+	Diss
0.00E+00	2.21E-01
5.29E-02	2.19E-01
2.11E-01	2.13E-01
4.76E-01	2.06E-01
8.46E-01	1.98E-01
1.32E+00	1.90E-01
1.90E+00	1.81E-01
2.59E+00	1.72E-01
3.38E+00	1.61E-01
4.27E+00	1.49E-01
5.27E+00	1.39E-01
6.38E+00	1.32E-01
7.59E+00	1.30E-01
8.90E+00	1.30E-01
1.03E+01	1.30E-01
1.18E+01	1.29E-01
1.35E+01	1.26E-01
1.52E+01	1.22E-01
1.70E+01	1.17E-01
1.89E+01	1.10E-01
2.10E+01	1.04E-01
2.31E+01	9.74E-02
2.53E+01	9.06E-02
2.76E+01	8.40E-02
3.01E+01	7.78E-02
3.26E+01	7.20E-02
3.52E+01	6.65E-02
3.79E+01	6.15E-02
4.07E+01	5.69E-02
4.36E+01	5.26E-02
4.66E+01	4.87E-02
4.97E+01	4.52E-02
5.29E+01	4.20E-02
5.62E+01	3.91E-02
5.96E+01	3.66E-02
6.30E+01	3.42E-02
6.66E+01	3.21E-02
7.02E+01	3.01E-02
7.39E+01	2.82E-02
7.77E+01	2.66E-02
8.16E+01	2.50E-02
8.56E+01	2.35E-02
8.96E+01	2.23E-02
9.38E+01	2.11E-02
9.80E+01	1.99E-02
1.02E+02	1.89E-02
1.07E+02	1.80E-02
1.11E+02	1.71E-02
1.16E+02	1.62E-02
1.20E+02	1.54E-02
1.25E+02	1.46E-02
1.30E+02	1.39E-02
1.35E+02	1.32E-02
1.39E+02	1.26E-02
1.44E+02	1.20E-02
1.49E+02	1.14E-02
1.55E+02	1.08E-02
1.60E+02	1.03E-02
1.65E+02	9.79E-03
1.70E+02	9.34E-03
1.76E+02	8.94E-03
1.81E+02	8.58E-03
1.86E+02	8.22E-03
1.92E+02	7.85E-03
1.97E+02	7.51E-03
2.03E+02	7.19E-03
2.09E+02	6.86E-03
2.14E+02	6.54E-03
2.20E+02	6.25E-03
2.26E+02	5.97E-03
2.32E+02	5.71E-03
2.38E+02	5.47E-03
2.44E+02	5.25E-03
2.50E+02	5.01E-03
2.56E+02	4.78E-03
2.62E+02	4.59E-03
2.68E+02	4.40E-03
2.74E+02	4.21E-03
2.80E+02	4.04E-03
2.86E+02	3.87E-03
2.93E+02	3.72E-03
2.99E+02	3.60E-03
3.05E+02	3.47E-03
3.12E+02	3.35E-03
3.18E+02	3.24E-03
3.24E+02	3.15E-03
3.31E+02	3.06E-03
3.37E+02	2.98E-03
3.43E+02	2.91E-03
3.50E+02	2.84E-03
3.56E+02	2.78E-03
3.63E+02	2.74E-03
3.69E+02	2.70E-03
3.76E+02	2.68E-03
3.82E+02	2.66E-03
3.88E+02	2.65E-03
3.95E+02	2.66E-03
