y+	k+
0.00E+00	2.16208E-11
5.29E-02	0.024778438
2.11E-01	0.09846088
4.76E-01	0.219300705
8.46E-01	0.384824564
1.32E+00	0.592039543
1.90E+00	0.837075027
2.59E+00	1.113912339
3.38E+00	1.41261757
4.27E+00	1.718911865
5.27E+00	2.015332975
6.38E+00	2.284864329
7.59E+00	2.514623431
8.90E+00	2.697981282
1.03E+01	2.834425868
1.18E+01	2.928016393
1.35E+01	2.985111388
1.52E+01	3.012676551
1.70E+01	3.017331603
1.89E+01	3.004812806
2.10E+01	2.979922818
2.31E+01	2.946611613
2.53E+01	2.907939133
2.76E+01	2.865929169
3.01E+01	2.821877035
3.26E+01	2.777230635
3.52E+01	2.733627626
3.79E+01	2.692157128
4.07E+01	2.653367671
4.36E+01	2.61727148
4.66E+01	2.583642777
4.97E+01	2.552028605
5.29E+01	2.522334236
5.62E+01	2.494401732
5.96E+01	2.467569655
6.30E+01	2.44124968
6.66E+01	2.415346766
7.02E+01	2.39
7.39E+01	2.365311819
7.77E+01	2.341473895
8.16E+01	2.318305416
8.56E+01	2.295648057
8.96E+01	2.273330156
9.38E+01	2.251370694
9.80E+01	2.230195059
1.02E+02	2.209635717
1.07E+02	2.189518212
1.11E+02	2.169910136
1.16E+02	2.151211287
1.20E+02	2.133096341
1.25E+02	2.114970449
1.30E+02	2.096449379
1.35E+02	2.077260215
1.39E+02	2.057459599
1.44E+02	2.037643246
1.49E+02	2.018628247
1.55E+02	2.000064999
1.60E+02	1.981269795
1.65E+02	1.961930172
1.70E+02	1.94182646
1.76E+02	1.921213158
1.81E+02	1.900397327
1.86E+02	1.879390859
1.92E+02	1.858278773
1.97E+02	1.836758013
2.03E+02	1.814973829
2.09E+02	1.793156435
2.14E+02	1.771169105
2.20E+02	1.749182666
2.26E+02	1.727185572
2.32E+02	1.704690588
2.38E+02	1.681439859
2.44E+02	1.658065137
2.50E+02	1.635160543
2.56E+02	1.612656194
2.62E+02	1.590179235
2.68E+02	1.568113516
2.74E+02	1.546411976
2.80E+02	1.524883602
2.86E+02	1.503316334
2.93E+02	1.481387863
2.99E+02	1.459249807
3.05E+02	1.437956884
3.12E+02	1.417822274
3.18E+02	1.398356178
3.24E+02	1.379035895
3.31E+02	1.359977941
3.37E+02	1.341402251
3.43E+02	1.323710693
3.50E+02	1.307684977
3.56E+02	1.293626685
3.63E+02	1.281748805
3.69E+02	1.272360012
3.76E+02	1.265231204
3.82E+02	1.260293617
3.88E+02	1.257390154
3.95E+02	1.256367781
