y+	U+
0.00E+00	4.21E-11
5.29E-02	5.26E-02
2.11E-01	2.10E-01
4.76E-01	4.73E-01
8.46E-01	8.41E-01
1.32E+00	1.31E+00
1.90E+00	1.89E+00
2.59E+00	2.56E+00
3.38E+00	3.32E+00
4.27E+00	4.15E+00
5.27E+00	5.04E+00
6.38E+00	5.96E+00
7.59E+00	6.87E+00
8.90E+00	7.76E+00
1.03E+01	8.60E+00
1.18E+01	9.37E+00
1.35E+01	1.01E+01
1.52E+01	1.07E+01
1.70E+01	1.12E+01
1.89E+01	1.17E+01
2.10E+01	1.22E+01
2.31E+01	1.25E+01
2.53E+01	1.29E+01
2.76E+01	1.32E+01
3.01E+01	1.35E+01
3.26E+01	1.37E+01
3.52E+01	1.39E+01
3.79E+01	1.41E+01
4.07E+01	1.43E+01
4.36E+01	1.45E+01
4.66E+01	1.46E+01
4.97E+01	1.48E+01
5.29E+01	1.49E+01
5.62E+01	1.51E+01
5.96E+01	1.52E+01
6.30E+01	1.54E+01
6.66E+01	1.55E+01
7.02E+01	1.56E+01
7.39E+01	1.57E+01
7.77E+01	1.58E+01
8.16E+01	1.60E+01
8.56E+01	1.61E+01
8.96E+01	1.62E+01
9.38E+01	1.63E+01
9.80E+01	1.64E+01
1.02E+02	1.65E+01
1.07E+02	1.66E+01
1.11E+02	1.67E+01
1.16E+02	1.68E+01
1.20E+02	1.69E+01
1.25E+02	1.70E+01
1.30E+02	1.71E+01
1.35E+02	1.72E+01
1.39E+02	1.73E+01
1.44E+02	1.74E+01
1.49E+02	1.75E+01
1.55E+02	1.76E+01
1.60E+02	1.77E+01
1.65E+02	1.78E+01
1.70E+02	1.79E+01
1.76E+02	1.80E+01
1.81E+02	1.81E+01
1.86E+02	1.81E+01
1.92E+02	1.82E+01
1.97E+02	1.83E+01
2.03E+02	1.84E+01
2.09E+02	1.85E+01
2.14E+02	1.86E+01
2.20E+02	1.86E+01
2.26E+02	1.87E+01
2.32E+02	1.88E+01
2.38E+02	1.89E+01
2.44E+02	1.89E+01
2.50E+02	1.90E+01
2.56E+02	1.91E+01
2.62E+02	1.91E+01
2.68E+02	1.92E+01
2.74E+02	1.93E+01
2.80E+02	1.93E+01
2.86E+02	1.94E+01
2.93E+02	1.94E+01
2.99E+02	1.95E+01
3.05E+02	1.95E+01
3.12E+02	1.96E+01
3.18E+02	1.96E+01
3.24E+02	1.97E+01
3.31E+02	1.97E+01
3.37E+02	1.98E+01
3.43E+02	1.98E+01
3.50E+02	1.98E+01
3.56E+02	1.99E+01
3.63E+02	1.99E+01
3.69E+02	1.99E+01
3.76E+02	1.99E+01
3.82E+02	1.99E+01
3.88E+02	2.00E+01
3.95E+02	2.00E+01
